BasketId,ItemId,SiteId,TimeStamp,Qtty,ClientId,IsActive,IDE
7131717,456128,30,2016-01-02 11:48:16.067,1.0,-103,1,5157
7131652,258444,20,2016-01-02 11:48:42.173,1.0,-103,1,100
7131652,258461,20,2016-01-02 11:48:42.173,1.0,-103,1,106
7131652,463465,20,2016-01-02 11:48:42.173,1.0,-103,1,1081
7131654,212880,7,2016-01-02 11:48:50.593,1.0,-103,1,70
7131654,212922,7,2016-01-02 11:48:50.593,1.0,-103,1,394
7131654,216712,7,2016-01-02 11:48:50.593,1.0,-103,1,10294
7131659,214959,32,2016-01-02 11:50:40.863,1.0,-103,1,4602
7131659,216686,32,2016-01-02 11:50:40.863,1.0,-103,1,5776
7131659,314789,32,2016-01-02 11:50:40.863,1.0,-103,1,3448
7131659,396547,32,2016-01-02 11:50:40.863,1.0,-103,1,8092
7131659,454104,32,2016-01-02 11:50:40.863,1.0,-103,1,11398
7131669,347352,7,2016-01-02 11:52:31.363,1.0,-103,1,1071
7131669,462537,7,2016-01-02 11:52:31.363,1.0,-103,1,3650
7131675,188157,23,2016-01-02 11:53:55.790,1.0,-103,1,162
7131675,405082,23,2016-01-02 11:53:55.790,1.0,-103,1,7109
7131675,446128,23,2016-01-02 11:53:55.790,1.0,-103,1,3380
7131677,258342,20,2016-01-02 11:54:56.680,1.0,-103,1,958
7131677,384785,20,2016-01-02 11:54:56.680,1.0,-103,1,4222
7131773,372549,30,2016-01-02 11:57:30.527,1.0,-103,1,870
7131773,377283,30,2016-01-02 11:57:30.527,1.0,-103,1,835
7131686,214198,7,2016-01-02 11:57:52.547,1.0,-103,1,63
7131686,214799,7,2016-01-02 11:57:52.547,1.0,-103,1,1379
7131691,212854,32,2016-01-02 11:58:18.830,1.0,-103,1,1210
7131691,213029,32,2016-01-02 11:58:18.830,1.0,-103,1,1761
7131691,213219,32,2016-01-02 11:58:18.830,1.0,-103,1,569
7131691,339463,32,2016-01-02 11:58:18.830,1.0,-103,1,9123
7131691,360902,32,2016-01-02 11:58:18.830,1.0,-103,1,828
7131691,403250,32,2016-01-02 11:58:18.830,1.0,-103,1,1278
